Sentiment,Tweet
Negative,@craisck imagina o hit ein Ed queridinho do UK com Tay a queridinha do USA
Negative,"RT @AndrewLSeidel: Dear USA Today,
Adam taking a bite of the apple is not history. It's the bible, also not history.
Oh, and it's not clear…"
Negative,"RT @franceinfo: ""Pourquoi tu me hais?"" Un manifestant antiraciste noir enlace un néonazi en marge du meeting d'un suprémaciste blanc https:…"
Positive,RT @1307th: fact  summary WE  HAVE  A UNSTABLE UNFIT  POTUS  A  EVIL GOP CONGRESS THEY WILL RUIN ALL THATIS GREAT ABOUT USA EVEN  WAR IF NO…
Negative,"RT @Tmartinsbb: ""namora há 1 mês e já diz q ama""

galera tem gente q começa namorar ja amando n é igual a vcs q usa os outros pra tapar bur…"
Positive,RT @USAUltimate: In less than 1 hour @revolverult &amp; @ringultimate face off in the 2017 #USAUNats men's semifinal on @espn 3 &amp; the app!https…
Negative,"RT @baehyungt: dizer que fã usa icon de ídolo por ter baixa auto-estima já é passar dos limites, só sinto pena por eles terem um pensamento…"
Negative,"RT @trendinaliaUS: ⒈ #saturdaymorning
⒉ #EachDayIsAVictoryWhen
⒊ #TwoLineGhostStory
⒋ #TwitterIn4Words
⒌ #HUDMUN

2017/10/21 09:56 CDT http…"
Negative,@rodrigojfbarros @auroczar Valeu Rodrigo !! Você usa?
Negative,"My followers live in India (81%), USA(5%)... Get your map: https://t.co/zgjiEEPn6K https://t.co/Kmq2wkyGB2"
Negative,頭痛いしイライラするわ(笑)
Negative,RT @89mori883: たこ焼きくってる時に撮られてたやつ🤣カメラもってんのウケるwww写真はなぬんや🤗 https://t.co/rI2KMsLxah
Negative,RT @ncbn: A brief overview of the 3 day USA trip https://t.co/bkd2iQbKTT
Negative,@sfrantzman Do you think this pic of USA Abrams tank old too! It’s taken by USA drones https://t.co/qRDJN9CKjx
Positive,"RT @bfraser747: ""Just when you thought the Left could sink no lower, the Left sinks lower... Have these people no shame?"" ~ @Varneyco https…"
